aAqui aaqui RG 1
comiença comenzar VMM02S0 1
la el DA0FS0 0.897854
iii° iii° NCMS000 0.175279
; ; Fx 1
parte partir VMM02S0 0.0798479
deste deste_de+deste_este SP+DD 0.994505
ter ter RG 0.352959
çero cero AQ0CN00 0.366391
libro libro NCMS000 0.996988
, , Fc 1
en en SP 1
que que PR0CN00 0.648448
muestra mostrar VMIP3S0 0.614458
en en SP 1
como como CS 0.953008
se se P00CN00 0.489655
ha haber VMIP3S0 0.549479
de de SP 0.999919
governar governar VMN0000 1
el el DA0MS0 0.880831
regno reino NCMS000 0.743902
e e CC 0.494868
la el DA0FS0 0.897854
çibdat ciudad NCFS000 1
en en SP 1
tienpo tiempo NCMS000 1
de de SP 0.999919
guerra guerra NCFS000 1
. . Fp 1

Capituloprimero capituloprimero RG 1
primero primero RG 0.265625
contie contie VMII3S0 0.755487
ne ni CC 1
xxiii xxiii Z 1
capitulos capítulo NCMP000 1
despues después RG 1
que que CS 0.350774
mostro mostrar VMIS3S0 1
en en SP 1
la el DA0FS0 0.897854
primera 1 AO0FS00 0.712264
parte parte NCCS000 0.878327
como como CS 0.953008
fablaron hablar VMIS3P0 1
los el DA0MP0 0.931043
philosofos filósofo NCMP000 0.633609
antiguos antiguo AQ0MP00 0.986111
del de+el SP+DA0MS0 0.5
gouernamiento gouernamiento NCMS000 1
del de+el SP+DA0MS0 0.5
regno reino NCMS000 0.743902
e e CC 0.494868
de de SP 0.999919
la el DA0FS0 0.897854
çibdat ciudad NCFS000 1
, , Fc 1
E e CC 0.494868
en en SP 1
la el DA0FS0 0.897854
segunda 2 AO0FS00 0.297561
parte parte NCCS000 0.878327
mostro mostrar VMIS3S0 1
en en SP 1
como como CS 0.953008
se se P00CN00 0.489655
ha haber VMIP3S0 0.549479
de de SP 0.999919
gouernar gobernar VMN0000 1
la el DA0FS0 0.897854
çibdat ciudad NCFS000 1
e e CC 0.494868
el el DA0MS0 0.880831
regno reino NCMS000 0.743902
en en SP 1
tiempo tiempo NCMS000 1
de de SP 0.999919
paz paz NCFS000 1
, , Fc 1
segun según SP 0.990196
la el DA0FS0 0.897854
opinion opinión NCFS000 1
de de SP 0.999919
aristotiles aristotiles NP000P0 1
, , Fc 1
aqui aquí RG 1
ya ya RG 0.876984
en en SP 1
esta este DD0FS0 0.818828
iiirond iiirond AQ0CS00 1
parte parte NCCS000 0.878327
muestra mostrar VMIP3S0 0.614458
en en SP 1
commo cómo PT00000 0.916667
se se P00CN00 0.489655
han haber VAIP3P0 0.97619
de de SP 0.999919
gouerna gouerna VMIF3S0 1
ren rehén NCCS000 1
tiempo tiempo NCMS000 1
de de SP 0.999919
guerra guerra NCFS000 1
. . Fp 1

E e CC 0.494868
assy así RG 0.983871
en en SP 1
toda todo DI0FS0 0.949029
esta este DD0FS0 0.818828
parte parte NCCS000 0.878327
non no RN 0.99936
fabla hablar VMIP3S0 0.993827
de de SP 0.999919
otra otro DI0FS0 0.675439
cosa cosa NCFS000 0.993392
sinon sino CC 0.96875
de de SP 0.999919
batalla batalla NCFS000 0.590505
e e CC 0.494868
de de SP 0.999919
guerra guerra NCFS000 1
, , Fc 1
commo cómo PT00000 0.916667
deuen deber VMIP3P0 1
los el DA0MP0 0.931043
reyes rey NCMP000 1
tomar tomar VMN0000 1
la lo PP3FSA0 0.10199
o o CC 0.998971
reçebir recibir VMN0000 1
la el DA0FS0 0.897854
. . Fp 1

E e CC 0.494868
aqui aquí RG 1
conuiene convenir VMIP3S0 1
de de SP 0.999919
notar notar VMN0000 1
, , Fc 1
nunca nunca RG 1
los el DA0MP0 0.931043
reyes rey NCMP000 1
deuen deber VMIP3P0 1
fazer hacer VMN0000 1
guerra guerra NCFS000 1
nin ni CC 1
reçebir recibir VMN0000 1
la el DA0FS0 0.897854
sinon sino NCMS000 0.03125
por por SP 1
derecha derecho AQ0FS00 0.847222
razon razón NCFS000 1
e e CC 0.494868
con con SP 1
ordenada ordenar VMP00SF 0.954545
entençion intención NCFS000 1
, , Fc 1
guardando guardar VMG0000 1
sienpre siempre RG 1
egualdat igualdad NCFS000 1
de de SP 0.999919
justiçia justicia NCFS000 1
. . Fp 1

Ca ca CS 0.982082
segunt según SP 0.990196
que que PR0CN00 0.648448
dize decir VMIP3S0 1
en en SP 1
el el DA0MS0 0.880831
decreto decreto NCMS000 0.680306
xx°iiii° xx°iiii° AQ0CS00 0.0305452
, , Fc 1
quaestione quaestione VMIP3S0 1
prima primo AQ0FS00 0.733333
: : Fd 1
las el DA0FP0 0.755247
batallas batalla NCFP000 0.954545
pueden poder VMIP3P0 1
se se P00CN00 0.489655
tomar tomar VMN0000 1
segunt según SP 0.990196
el el DA0MS0 0.880831
euangelio evangelio NCMS000 1
, , Fc 1
por por SP 1
tirar tirar VMN0000 1
la el DA0FS0 0.897854
liçençia licencia NCFS000 0.512121
e e CC 0.494868
el el DA0MS0 0.880831
atreuimiento atrevimiento NCMS000 1
de de SP 0.999919
maldat maldad NCFS000 1
, , Fc 1
e e CC 0.494868
por por SP 1
necessidat necesidad NCFS000 1
de de SP 0.999919
. . Fp 1

pazCa pacer VMSP3S0 0.557469
en en SP 1
la el DA0FS0 0.897854
batalla batalla NCFS000 0.590505
derecha derecho AQ0FS00 0.847222
, , Fc 1
reprehendese reprehendese VMSI3S0 0.89797
la el DA0FS0 0.897854
codiçia codicia NCFS000 0.512121
de de SP 0.999919
enpeçer empecer VMN0000 1
e e CC 0.494868
la el DA0FS0 0.897854
crueldat crueldad NCFS000 1
de de SP 0.999919
mal mal RG 0.0878187
fazer hacer VMN0000 1
e e CC 0.494868
el el DA0MS0 0.880831
coraçon corazón NCMS000 1
malo malo NCMS000 0.96875
de de SP 0.999919
los el DA0MP0 0.931043
que que PR0CN00 0.648448
turban turbar VMIP3P0 1
la el DA0FS0 0.897854
paz paz NCFS000 1
, , Fc 1
e e CC 0.494868
la el DA0FS0 0.897854
anbiçion anbiçion NCFS000 1
de de SP 0.999919
enseñorear enseñorear VMN0000 1
. . Fp 1

E e CC 0.494868
esso ese PD0NS00 1
mesmo mismo PI0MS00 0.537879
dize decir VMIP3S0 1
sant santo NCMS000 0.60989
agustin agustin NP000P0 1
contra contra SP 0.987179
fausto fausto NCMS000 0.6336
, , Fc 1
do do PR00000 0.994792
dize decir VMIP3S0 1
que que PR0CN00 0.648448
buenas bueno AQ0FP00 1
son ser VSIP3P0 0.987239
las el DA0FP0 0.755247
batallas batalla NCFP000 0.954545
que que PR0CN00 0.648448
se se P00CN00 0.489655
fazen hacer VMIP3P0 1
por por SP 1
refrenar refrenar VMN0000 1
los el DA0MP0 0.931043
malos malo AQ0MP00 0.990196
e e CC 0.494868
para para SP 0.988789
ensalçar ensalzar VMN0000 1
los el DA0MP0 0.931043
buenos bueno AQ0MP00 1
, , Fc 1
e e CC 0.494868
para para SP 0.988789
quebrantar quebrantar VMN0000 1
las el DA0FP0 0.755247
contumaçias contumaçias NCFP000 1
e e CC 0.494868
las el DA0FP0 0.755247
soiij° soiij° NCMS000 0.175279
e e CC 0.494868
para para SP 0.988789
fazer hacer VMN0000 1
obediençia obediencia NCFS000 1
a a SP 0.956937
la el DA0FS0 0.897854
re re NCMS000 0.633608
publica publicar VMIP3S0 0.916667
. . Fp 1

E e CC 0.494868
alli allí RG 1
dize decir VMIP3S0 1
mas más RG 0.65457
desta desta_de+desta_este SP+DD 1
materia materia NCFS000 1
, , Fc 1
do do PR00000 0.994792
dize decir VMIP3S0 1
que que CS 0.350774
la el DA0FS0 0.897854
autoridat autoridat NCFS000 1
de de SP 0.999919
la el DA0FS0 0.897854
batalla batalla NCFS000 0.590505
es ser VSIP3S0 1
en en SP 1
el el DA0MS0 0.880831
prinçipe príncipe NCMS000 0.533609
, , Fc 1
e e CC 0.494868
el el DA0MS0 0.880831
ofiçio oficio NCMS000 0.743714
de de SP 0.999919
seguir seguir VMN0000 1
la el DA0FS0 0.897854
es ser VSIP3S0 1
enlos enlos_en+enlos_el SP+DA 1
cavalleros caballero NCMP000 0.621109
. . Fp 1

Ca ca CS 0.982082
la el DA0FS0 0.897854
batalla batalla NCFS000 0.590505
que que PR0CN00 0.648448
dios dios NCMS000 0.999067
manda mandar VMIP3S0 0.913043
fazer hacer VMN0000 1
non no RN 0.99936
hay haber VMIP3S0 1
dubda duda NCFS000 0.916667
que que PR0CN00 0.648448
con con SP 1
derecho derecho NCMS000 0.830579
la lo PP3FSA0 0.10199
manda mandar VMIP3S0 0.913043
fazer hacer VMN0000 1
, , Fc 1
o o CC 0.998971
reçebir recibir VMN0000 1
, , Fc 1
e e CC 0.494868
esto este PD00S00 0.983631
para para SP 0.988789
quebranta quebrantar VMIP3S0 0.916667
re re NCMS000 0.633608
subiugar subiugar VMN0000 1
la el DA0FS0 0.897854
soberuia soberbia NCFS000 0.633609
de de SP 0.999919
los el DA0MP0 0.931043
omes hombre NCMP000 1
mortales mortal AQ0CP00 0.666318
. . Fp 1

E e CC 0.494868
esso ese PD0NS00 1
mes mes NCMS000 1
mo mu NCCS000 1
dize decir VMIP3S0 1
el el DA0MS0 0.880831
decreto decreto NCMS000 0.680306
en en SP 1
la el DA0FS0 0.897854
causa causa NCFS000 0.972603
sobredicha sobredicho AQ0FS00 1
quaestione quaestione VMIP3S0 1
viii° viii° NCMS000 0.175279
, , Fc 1
e e CC 0.494868
tomasse tomar+se VMIP2S0+PP3CN00 0.372826
del de+el SP+DA0MS0 0.5
de de SP 0.999919
sant santo NCMS000 0.60989
os os PP2CP00 0.846154
ostin ostin NCMS000 1
, , Fc 1
epistola epístola NCFS000 1
v° v° AQ0CS00 0.0305452
, , Fc 1
do do PR00000 0.994792
dize decir VMIP3S0 1
: : Fd 1
si si CS 0.944444
pue pue VMIP3S0 0.574405
de de SP 0.999919
ser ser VSN0000 0.969613
, , Fc 1
que que CS 0.350774
con con SP 1
misericordia misericordia NCFS000 1
se se P00CN00 0.489655
fagan hacer VMSP3P0 1
las el DA0FP0 0.755247
batallas batalla NCFP000 0.954545
de de SP 0.999919
los el DA0MP0 0.931043
buenos bueno AQ0MP00 1
para para SP 0.988789
domar domar VMN0000 1
las el DA0FP0 0.755247
codiçias codicia NCFP000 0.755263
de de SP 0.999919
los el DA0MP0 0.931043
malos malo AQ0MP00 0.990196
. . Fp 1

Ca ca CS 0.982082
non no RN 0.99936
se se P00CN00 0.489655
pueden poder VMIP3P0 1
derraygar derraygar VMN0000 0.64887
sacando sacar VMG0000 1
enesta enesta_en+enesta_este SP+DD 1
ma ma NCFS000 0.705863
ner ner VMN0000 1
, , Fc 1
afaziendo afaziendo VMG0000 1
sienpre siempre RG 1
el el DA0MS0 0.880831
mandado mandado NCMS000 0.865854
del de+el SP+DA0MS0 0.5
enperador emperador NCMS000 1
e e CC 0.494868
siguiendo seguir VMG0000 1
guerra guerra NCFS000 1
derecha derecho AQ0FS00 0.847222
; ; Fx 1
enpero empero CC 1
que que PR0CN00 0.648448
dize decir VMIP3S0 1
en en SP 1
el el DA0MS0 0.880831
decreto decreto NCMS000 0.680306
en en SP 1
la el DA0FS0 0.897854
